dev,ino,size_bytes
2053,2494875,33112
2053,2494876,28056
2053,2494877,17712
2053,2494878,2360
2053,2494879,16640
2053,2494880,56432
2053,2494881,54136
2053,2494882,120
2053,2494886,10652
2053,2494888,2619
2053,2494889,0
2053,2494896,24
2053,2494897,24
2053,2494900,48
2053,2494901,48
2053,2494902,41
2053,2494903,16
2053,2494904,0
2053,2494909,24
2053,2494911,48
2053,2494914,24
2053,2494916,144
2053,2494917,7258
2053,2494918,153985024
2053,2494922,7614
2053,2494925,24
2053,2494927,24
2053,2494929,15
2053,2494931,48
2053,2494933,45056
2053,2494934,36864
2053,2494935,0
2053,2494936,0
2053,2494939,447
2053,2494940,28672
2053,2494941,36864
2053,2494944,36
2053,2494945,10101
2053,2494947,262512
2053,2494948,8192
2053,2494949,270336
2053,2494950,8192
2053,2494951,8192
2053,2494953,262512
2053,2494954,8192
2053,2494955,270336
2053,2494956,8192
2053,2494957,8192
2053,2494959,262512
2053,2494960,8192
2053,2494961,270336
2053,2494962,8192
2053,2494963,8192
2053,2494965,7610
2053,2494966,457305
2053,2494967,2995
2053,2494968,172032
2053,2494969,53248
2053,2494971,69
2053,2494972,3656
2053,2494973,2669
2053,2494974,451968
2053,2494976,2613
2053,2494977,13812
2053,2494979,3210
2053,2494980,8790640
2053,2494981,307
2053,2494982,1579
2053,2494983,7556
2053,2494984,9959
2053,2494985,1258
2053,2494986,36
2053,2494987,7193
2053,2494988,2530
2053,2494989,9863
2053,2494992,166830080
2053,2494993,9695
2053,2494994,40960
2053,2494995,0
2053,2494996,2
2053,2494998,28672
2053,2494999,0
2053,2495001,24
2053,2495003,7671
2053,2495004,0
2053,2495005,41
2053,2495006,16
2053,2495007,4592
2053,2495009,162
2053,2495010,2547
2053,2495011,6283
2053,2495012,7600
2053,2495013,7514
2053,2495014,244178944
2053,2495015,13017
2053,2495016,57
2053,2495017,7562
2053,2495019,7637
2053,2495020,120
2053,2495021,175
2053,2495024,793667
2053,2495025,6976
2053,2495026,6283
2053,2495028,13017
2053,2495029,15
2053,2495030,7634
2053,2495031,175
2053,2495032,20480
2053,2495033,0
2053,2495034,5967
2053,2495039,24
2053,2495041,247
2053,2495043,11453
2053,2495044,11401
2053,2495045,11454
2053,2495046,10990
2053,2495047,144
2053,2495048,80
2053,2495049,49787
2053,2495051,10653
2053,2495052,6773
2053,2495053,7669
2053,2495054,247
2053,2495055,150
2053,2495056,10305
2053,2495057,41
2053,2495058,3
2053,2495059,246
2053,2495060,245
2053,2495061,9838
2053,2495062,154247168
2053,2495063,378
2053,2495064,49761
2053,2495066,3585
2053,2495067,6283
2053,2495068,13017
2053,2495072,24
2053,2495073,7601
2053,2495076,11401
2053,2495077,10990
2053,2495078,11453
2053,2495079,11454
2053,2495080,544752
2053,2495081,7600
2053,2495082,128
2053,2495083,6711
2053,2495084,182
2053,2495085,11532
2053,2495086,4455424
2053,2495087,0
2053,2495088,7055
2053,2495090,2654
2053,2495091,11822
2053,2495092,11648
2053,2495093,1443
2053,2495096,7700
2053,2495098,40
2053,2495100,2736
2053,2495101,49780
2053,2495102,7715
2053,2495103,7311
2053,2495104,50366
2053,2495105,13664
2053,2495106,9950
2053,2495107,37097
2053,2495108,23266
2053,2495109,16289
2053,2495110,11583
2053,2495111,7609
2053,2495113,11834
2053,2495114,12278
2053,2495115,7635
2053,2495116,10403
2053,2495117,1358
2053,2495118,13431
2053,2495119,1216
2053,2495120,320
2053,2495121,163
2053,2495122,175
2053,2495123,178
2053,2495124,0
2053,2495125,204464
2053,2495126,6977
2053,2495128,24398
2053,2495129,2650
2053,2495130,166
2053,2495131,279
2053,2495132,6680
2053,2495133,13929
2053,2495135,123
2053,2495138,2374
2053,2495139,304896
2053,2495140,178
2053,2495141,124
2053,2495143,13575
2053,2495144,13353
2053,2495145,6392
2053,2495146,432
2053,2495147,11800
2053,2495148,12598
2053,2495149,12531
2053,2495150,3118080
2053,2495151,13335
2053,2495152,11842
2053,2495153,13930
2053,2495154,33792
2053,2495155,11853
2053,2495156,11
2053,2495157,11520
2053,2495158,14023
2053,2495159,74492
2053,2495170,12978
2053,2495173,2527
2053,2495174,11878
2053,2495176,4868096
2053,2495178,400
2053,2495179,400
2053,2495180,42
2053,2495182,525
2053,2495183,275
2053,2495184,308
2053,2495185,262
2053,2495186,279
2053,2495187,552960
2053,2495188,4129792
2053,2495189,1191936
2053,2495190,4194304
2053,2495192,2926592
2053,2495193,2488320
2053,2495194,4312064
2053,2495195,3143680
2053,2495196,4289536
2053,2495197,2448384
2053,2495198,1278976
2053,2495199,1252352
2053,2495200,2465792
2053,2495201,5044224
2053,2495202,949248
2053,2495203,675840
2053,2495204,2135040
2053,2495205,3984384
2053,2495206,3472384
2053,2495207,4467712
2053,2495208,4405248
2053,2495209,3216384
2053,2495210,1870848
2053,2495211,4255744
2053,2495212,5017600
2053,2495213,2926592
2053,2495214,3574784
2053,2495215,103424
2053,2495216,4137984
2053,2495217,2936832
2053,2495218,3409920
2053,2495219,1754112
2053,2495220,4579328
2053,2495221,3677184
2053,2495222,5120
2053,2495223,1340416
2053,2495224,2872320
2053,2495225,4750336
2053,2495226,1768448
2053,2495227,3264512
2053,2495228,1931264
2053,2495229,4196352
2053,2495230,4887552
2053,2495231,338944
2053,2495232,2731008
2053,2495233,1095680
2053,2495234,3049472
2053,2495235,1880064
2053,2495236,1846272
2053,2495237,2446336
2053,2495238,2958336
2053,2495239,1609728
2053,2495240,1329152
2053,2495241,418816
2053,2495242,4299776
2053,2495243,1204224
2053,2495244,2614272
2053,2495245,3130368
2053,2495246,763904
2053,2495247,2568192
2053,2495248,4319232
2053,2495249,1648640
2053,2495250,591872
2053,2495251,1796096
2053,2495252,575488
2053,2495253,2469888
2053,2495254,1468416
2053,2495255,1312768
2053,2495256,330752
2053,2495257,2293760
2053,2495258,2038784
2053,2495259,3076096
2053,2495260,2046976
2053,2495261,2072576
2053,2495262,3034112
2053,2495263,4970496
2053,2495264,1980416
2053,2495265,1714176
2053,2495266,4356096
2053,2495267,873472
2053,2495268,4072448
2053,2495269,2769920
2053,2495270,2309120
2053,2495271,726016
2053,2495272,3228672
2053,2495273,4226048
2053,2495274,2162688
2053,2495275,3338240
2053,2495276,3891200
2053,2495277,4369408
2053,2495278,3497984
2053,2495279,5081088
2053,2495280,4731904
2053,2495281,447488
2053,2495282,936960
2053,2495283,2381824
2053,2495284,456704
2053,2495285,1090560
2053,2495286,132096
2053,2495287,3988480
2053,2495288,4543488
2053,2495289,5117952
2053,2495290,9216
2053,2495291,216064
2053,2495292,2961408
2053,2495293,3646464
2053,2495294,3706880
2053,2495295,1606656
2053,2495296,4981760
2053,2495297,1872896
2053,2495298,651264
2053,2495299,4868096
2053,2495300,3231744
2053,2495301,2129920
2053,2495302,3868672
2053,2495303,523264
2053,2495304,593920
2053,2495305,2812928
2053,2495306,2908160
2053,2495307,4388864
2053,2495308,2320384
2053,2495309,2038784
2053,2495310,3141632
2053,2495311,1013760
2053,2495312,4419584
2053,2495313,1685504
2053,2495314,2097152
2053,2495315,3709952
2053,2495316,4755456
2053,2495317,3425280
2053,2495318,2550784
2053,2495319,1415168
2053,2495320,1472512
2053,2495321,3951616
2053,2495322,2781184
2053,2495323,1302528
2053,2495324,2520064
2053,2495325,1760256
2053,2495326,2519040
2053,2495327,521216
2053,2495328,2304000
2053,2495329,4287488
2053,2495330,696320
2053,2495331,4904960
2053,2495332,2268160
2053,2495333,2116608
2053,2495334,100352
2053,2495335,4813824
2053,2495336,307200
2053,2495337,2420736
2053,2495338,1507328
2053,2495339,2239488
2053,2495340,3297280
2053,2495341,1122304
2053,2495342,353280
2053,2495343,4770816
2053,2495344,3445760
2053,2495345,4503552
2053,2495346,2239488
2053,2495347,2315264
2053,2495348,4424704
2053,2495349,3612672
2053,2495350,229376
2053,2495351,3718144
2053,2495352,1402880
2053,2495353,3150848
2053,2495354,763904
2053,2495355,1544192
2053,2495356,2048000
2053,2495357,3661824
2053,2495358,151
2053,2495359,2743296
2053,2495360,1480704
2053,2495361,3988480
2053,2495362,1459200
2053,2495363,4717568
2053,2495364,5059584
2053,2495365,4038656
2053,2495366,3008512
2053,2495367,5064704
2053,2495368,4639744
2053,2495369,230400
2053,2495370,2680832
2053,2495371,2558976
2053,2495372,1351680
2053,2495373,1766400
2053,2495374,582656
2053,2495375,2741248
2053,2495376,3941376
2053,2495377,3784704
2053,2495378,2883584
2053,2495379,3022848
2053,2495380,1227776
2053,2495381,1415168
2053,2495382,2703360
2053,2495383,2620416
2053,2495384,4929536
2053,2495385,2533376
2053,2495386,2048
2053,2495387,361472
2053,2495388,956416
2053,2495389,3418112
2053,2495390,253952
2053,2495391,1293312
